1	-112.0923293	33.6385727	4	0	161
2	-112.2347549	33.6485453	3.5	0	9
3	-111.964485	33.383123	3.5	0	43
4	-111.857818	33.3564719	5	0	0
5	-112.0972324	33.5384932	5	0	0
6	-112.184772	33.466373	5	1	26
7	-111.9192218	33.5024593	5	0	0
8	-112.014454	33.4952159	4.5	1	416
9	-111.9263102	33.3840503	4	0	33
10	-111.9507042	33.8333716	5	0	0
11	-111.8759269	33.3005628	1.5	0	9
12	-111.8321847	33.41484	3.5	1	111
13	-111.9182618	33.4980117	5	0	0
14	-111.686969	33.282349	4	0	51
15	-111.8411655	33.3096142	1.5	0	0
16	-111.8210866	33.5013596	4	0	126
17	-111.683607	33.265725	2.5	0	0
18	-112.0282143	33.3776584	3.5	0	66
19	-112.393195	33.453887	2	1	42
20	-111.923857	33.499802	4.5	0	158
21	-112.0047498	33.5183691	4	0	30
22	-111.9403254	33.6071829	3.5	0	327
23	-111.9766205	33.5817431	1	0	0
24	-111.576051	33.451793	5	0	0
25	-112.1345446	33.5081908	3	1	10
26	-112.0437806	33.4657647	2.5	0	0
27	-112.2603562	33.5324849	3	0	1064
28	-112.11364	33.64201	2	0	4
29	-112.4816322	33.60776606	4	0	0
30	-112.0160942	33.495167	3.5	0	0
31	-112.0739851	33.5043537	3	0	16
32	-112.124921	33.578712	3.5	0	30
33	-112.043042	33.447968	5	0	0
34	-112.0739243	33.4876207	3.5	1	160
35	-111.9864	33.479307	3	0	66
36	-112.0291023	33.5094588	4.5	0	103
37	-111.979837	33.638405	3	0	0
38	-111.9208174	33.4659545	3	1	53
39	-112.128213	33.4949436	2	1	9
40	-111.7439821	33.3001283	5	0	42
41	-111.981619	33.492828	1.5	0	3
42	-111.9076824	33.5173543	4.5	0	565
43	-111.7195576	33.57477446	2.5	0	0
44	-111.9284427	33.46527078	3	1	9
45	-111.884328	33.635419	1	0	0
46	-112.0409502	33.5093736	4	1	515
47	-112.2535638	33.8526052	3	0	0
48	-111.9850514	33.4616372	3.5	0	204
49	-112.046129	33.458239	3	0	24
50	-111.9777891	33.6128817	3.5	1	191
51	-111.8735293	33.407858	3.5	1	12
52	-112.09572	33.4663	1	0	6
53	-111.791834	33.218044	5	0	0
54	-111.9602619	33.421824	4.5	1	89
55	-112.2193658	33.6411514	2.5	0	0
56	-112.0131305	33.5024039	4	0	0
57	-111.8414264	33.3144486	1	1	0
58	-112.395658	33.456886	4	1	13
59	-111.897553	33.305681	4	0	7
60	-111.8986846	33.5560778	1	0	0
61	-111.909292	33.4809956	3.5	1	705
62	-111.910685	33.349583	4	1	34
63	-112.3944691	33.4538238	4.5	0	6
64	-111.939894	33.426767	4	0	26
65	-111.7561636	33.3678487	4	0	7
66	-111.9238128	33.6304547	3	0	234
67	-111.7171214	33.2851838	3.5	0	4
68	-111.36425	33.39926	4.5	0	12
69	-111.9086242	33.4671841	4	1	44
70	-111.875779	33.413158	4	1	425
71	-111.9264617	33.5156179	1	0	0
72	-111.96828	33.546	4.5	0	0
73	-111.8871018	33.54797487	1.5	0	0
74	-112.2245556	33.6397913	3.5	0	1391
75	-111.92282	33.63873	4	0	6
76	-111.7526399	33.3068367	3.5	0	12
77	-111.8396102	33.2452024	4	0	69
78	-112.1871614	33.66934603	4	1	113
79	-112.200326	33.710985	3.5	0	0
80	-112.366189	33.650633	2	0	6
81	-111.9403732	33.3944547	5	0	0
82	-111.8590556	33.3416423	3.5	1	55
83	-112.355665	33.6075896	3	1	35
84	-111.8040555	33.3206467	2	0	6
